Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Daily Return
2020-04-20 00:00:00+02:00;150,14;151,35;149,32;151,22;11979;0,00;0,00;nan%
2020-04-21 00:00:00+02:00;151,86;151,98;148,66;150,04;13944;0,00;0,00;-0,78%
2020-04-22 00:00:00+02:00;150,69;153,26;150,66;153,26;11162;0,00;0,00;2,15%
2020-04-23 00:00:00+02:00;154,02;155,96;154,00;155,28;25434;0,00;0,00;1,32%
2020-04-24 00:00:00+02:00;156,30;156,38;153,89;153,89;14520;0,00;0,00;-0,90%
2020-04-27 00:00:00+02:00;153,58;154,36;152,84;153,45;7331;0,00;0,00;-0,29%
2020-04-28 00:00:00+02:00;152,86;152,86;151,48;152,44;7077;0,00;0,00;-0,66%
2020-04-29 00:00:00+02:00;152,72;153,12;151,74;152,29;7532;0,00;0,00;-0,10%
2020-04-30 00:00:00+02:00;153,20;153,50;150,85;150,85;24772;0,00;0,00;-0,95%
2020-05-04 00:00:00+02:00;150,98;152,08;150,74;151,42;12034;0,00;0,00;0,38%
2020-05-05 00:00:00+02:00;151,33;152,30;150,82;152,06;10885;0,00;0,00;0,42%
2020-05-06 00:00:00+02:00;152,84;153,12;151,24;151,83;16345;0,00;0,00;-0,15%
2020-05-07 00:00:00+02:00;151,78;153,11;151,61;153,11;21546;0,00;0,00;0,84%
2020-05-08 00:00:00+02:00;153,71;154,16;152,64;153,01;18662;0,00;0,00;-0,07%
2020-05-11 00:00:00+02:00;152,68;153,10;151,78;152,28;8835;0,00;0,00;-0,48%
2020-05-12 00:00:00+02:00;152,26;153,02;151,66;152,42;12478;0,00;0,00;0,09%
2020-05-13 00:00:00+02:00;152,34;153,70;152,10;153,51;17427;0,00;0,00;0,72%
2020-05-14 00:00:00+02:00;154,28;155,80;153,72;155,62;17809;0,00;0,00;1,37%
2020-05-15 00:00:00+02:00;155,84;156,64;155,26;156,41;15921;0,00;0,00;0,51%
2020-05-18 00:00:00+02:00;157,76;158,34;154,04;154,65;20663;0,00;0,00;-1,13%
2020-05-19 00:00:00+02:00;153,20;154,62;153,04;154,36;10726;0,00;0,00;-0,19%
2020-05-20 00:00:00+02:00;155,07;155,41;153,84;154,27;19954;0,00;0,00;-0,06%
2020-05-21 00:00:00+02:00;153,61;153,61;151,54;152,44;9457;0,00;0,00;-1,19%
2020-05-22 00:00:00+02:00;154,01;154,68;153,58;154,22;8889;0,00;0,00;1,17%
2020-05-25 00:00:00+02:00;153,76;154,22;153,11;154,04;28671;0,00;0,00;-0,12%
2020-05-26 00:00:00+02:00;153,62;153,62;150,95;151,43;13799;0,00;0,00;-1,69%
2020-05-27 00:00:00+02:00;151,02;151,18;149,38;150,18;72401;0,00;0,00;-0,83%
2020-05-28 00:00:00+02:00;151,10;152,12;150,98;150,98;104101;0,00;0,00;0,53%
2020-05-29 00:00:00+02:00;150,35;151,40;150,20;151,20;19795;0,00;0,00;0,15%
2020-06-02 00:00:00+02:00;151,56;151,56;150,24;150,24;17777;0,00;0,00;-0,63%
2020-06-03 00:00:00+02:00;149,04;149,42;146,08;146,50;23272;0,00;0,00;-2,49%
2020-06-04 00:00:00+02:00;147,23;148,48;146,10;146,74;30324;0,00;0,00;0,16%
2020-06-05 00:00:00+02:00;145,72;146,62;143,32;144,00;30804;0,00;0,00;-1,87%
2020-06-08 00:00:00+02:00;145,54;145,84;144,66;145,25;33455;0,00;0,00;0,87%
2020-06-09 00:00:00+02:00;145,96;147,44;145,96;146,69;50740;0,00;0,00;0,99%
2020-06-10 00:00:00+02:00;146,68;147,36;146,60;146,65;61542;0,00;0,00;-0,03%
2020-06-11 00:00:00+02:00;148,09;148,56;147,41;148,49;15880;0,00;0,00;1,25%
2020-06-12 00:00:00+02:00;148,57;149,68;148,32;149,40;35352;0,00;0,00;0,61%
2020-06-15 00:00:00+02:00;148,66;148,66;146,92;148,14;23539;0,00;0,00;-0,84%
2020-06-16 00:00:00+02:00;147,51;149,20;147,38;148,69;54642;0,00;0,00;0,37%
2020-06-17 00:00:00+02:00;148,49;149,60;147,82;149,19;10394;0,00;0,00;0,34%
2020-06-18 00:00:00+02:00;148,80;149,64;148,26;148,93;17324;0,00;0,00;-0,17%
2020-06-19 00:00:00+02:00;149,63;151,08;149,46;150,78;25100;0,00;0,00;1,24%
2020-06-22 00:00:00+02:00;151,72;151,96;150,88;151,49;10425;0,00;0,00;0,47%
2020-06-23 00:00:00+02:00;150,44;151,24;150,30;151,19;3054;0,00;0,00;-0,20%
2020-06-24 00:00:00+02:00;151,68;152,85;151,56;151,94;29640;0,00;0,00;0,50%
2020-06-25 00:00:00+02:00;152,34;152,54;151,90;152,09;4242;0,00;0,00;0,10%
2020-06-26 00:00:00+02:00;152,33;152,60;151,23;152,60;4484;0,00;0,00;0,34%
2020-06-29 00:00:00+02:00;152,52;152,94;151,80;152,73;3181;0,00;0,00;0,09%
2020-06-30 00:00:00+02:00;153,27;154,00;152,80;153,79;9672;0,00;0,00;0,69%
2020-07-01 00:00:00+02:00;154,65;154,83;151,65;151,70;8407;0,00;0,00;-1,36%
2020-07-02 00:00:00+02:00;152,06;153,48;151,40;153,38;6956;0,00;0,00;1,11%
2020-07-03 00:00:00+02:00;153,21;153,39;153,05;153,09;3252;0,00;0,00;-0,19%
2020-07-06 00:00:00+02:00;152,54;152,96;152,28;152,95;3712;0,00;0,00;-0,09%
2020-07-07 00:00:00+02:00;153,07;154,26;152,61;153,93;16851;0,00;0,00;0,64%
2020-07-08 00:00:00+02:00;154,31;155,42;154,20;155,03;4797;0,00;0,00;0,71%
2020-07-09 00:00:00+02:00;154,71;155,34;154,42;154,58;23213;0,00;0,00;-0,29%
2020-07-10 00:00:00+02:00;154,66;155,58;154,12;154,12;3077;0,00;0,00;-0,30%
2020-07-13 00:00:00+02:00;154,64;155,02;153,86;154,11;3472;0,00;0,00;-0,01%
2020-07-14 00:00:00+02:00;153,98;154,08;152,97;153,85;4219;0,00;0,00;-0,17%
2020-07-15 00:00:00+02:00;153,60;153,74;152,80;153,63;6149;0,00;0,00;-0,14%
2020-07-16 00:00:00+02:00;153,55;153,79;153,11;153,12;8085;0,00;0,00;-0,33%
2020-07-17 00:00:00+02:00;153,24;153,58;153,14;153,55;5409;0,00;0,00;0,28%
2020-07-20 00:00:00+02:00;153,24;154,30;153,01;153,83;6358;0,00;0,00;0,18%
2020-07-21 00:00:00+02:00;154,26;155,93;154,22;155,21;14545;0,00;0,00;0,90%
2020-07-22 00:00:00+02:00;156,30;156,30;155,02;155,88;5147;0,00;0,00;0,43%
2020-07-23 00:00:00+02:00;156,86;158,30;156,72;158,30;9451;0,00;0,00;1,55%
2020-07-24 00:00:00+02:00;157,71;159,08;157,71;158,21;13853;0,00;0,00;-0,06%
2020-07-27 00:00:00+02:00;160,18;160,88;159,50;159,56;5748;0,00;0,00;0,85%
2020-07-28 00:00:00+02:00;160,20;161,51;157,90;161,51;9056;0,00;0,00;1,22%
2020-07-29 00:00:00+02:00;161,63;161,76;160,36;161,18;3971;0,00;0,00;-0,20%
2020-07-30 00:00:00+02:00;161,08;161,30;159,66;160,23;13476;0,00;0,00;-0,59%
2020-07-31 00:00:00+02:00;160,76;162,00;160,76;162,00;1954;0,00;0,00;1,10%
2020-08-03 00:00:00+02:00;162,58;163,14;162,20;162,75;3750;0,00;0,00;0,46%
2020-08-04 00:00:00+02:00;162,45;164,37;162,22;164,37;5566;0,00;0,00;1,00%
2020-08-05 00:00:00+02:00;166,42;167,00;166,23;166,69;3620;0,00;0,00;1,41%
2020-08-06 00:00:00+02:00;167,22;169,44;167,12;168,01;1889;0,00;0,00;0,79%
2020-08-07 00:00:00+02:00;168,57;169,06;166,90;166,92;8720;0,00;0,00;-0,65%
